survey_id,response_id,registered,propensity,pres,gov,sen,party_reg,gender,age,hisp,race,educ,pres16,house18,county
SV_6tbzcMgiF3B4MxD,R_1r2N9GISIPsLy2h,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Female,64,No,Black or African American,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Durham
SV_6tbzcMgiF3B4MxD,R_10usrrS7H19IpgD,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Dan Forest, the Republican","Thom Tillis, the Republican",Republican,Female,39,No,White,"Master's degree (e.g. MA, MS, MEd)","Donald Trump, the Republican",The Republican party candidate,Surry
SV_6tbzcMgiF3B4MxD,R_5AyBBQTXTr8qPgR,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Female,30,No,White,"Doctorate or professional degree (e.g. MD, DDS, PhD)",Did not vote,The Democratic party candidate,Wake
SV_6tbzcMgiF3B4MxD,R_1rwEO9yirHI19gr,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Other,Male,50,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Republican party candidate,Wake
SV_6tbzcMgiF3B4MxD,R_1lluzrTr9huAzOm,Yes,I am likely to vote,"Donald Trump, the Republican","Dan Forest, the Republican","Thom Tillis, the Republican",Republican,Male,27,Yes,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Republican party candidate,Carteret
SV_6tbzcMgiF3B4MxD,R_2ScRvge11nXPUJu,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Female,52,No,Black or African American,"Some college, no degree","Hillary Clinton, the Democrat",The Democratic party candidate,Wake
SV_6tbzcMgiF3B4MxD,R_25EqQ3yn519kyrx,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat",Undecided,"Cal Cunningham, the Democrat",Other,Female,26,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Wake
SV_6tbzcMgiF3B4MxD,R_3GwwJLRK3tr1KMM,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Thom Tillis, the Republican",Republican,Male,60,,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Republican party candidate,Anson
SV_6tbzcMgiF3B4MxD,R_1r2koa89mmq4iGs,Yes,50/50,Undecided,"Roy Cooper, the Democrat","Thom Tillis, the Republican",Other,Female,30,No,White,"Master's degree (e.g. MA, MS, MEd)",Someone else,Someone else,Cumberland
SV_6tbzcMgiF3B4MxD,R_2wtsc1faqkotjEe,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Dan Forest, the Republican","Thom Tillis, the Republican",Republican,Female,27,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Republican party candidate,Hoke
SV_6tbzcMgiF3B4MxD,R_tLhMGlBIdHlJHwZ,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Dan Forest, the Republican",Undecided,Republican,Female,48,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Republican party candidate,Gaston
SV_6tbzcMgiF3B4MxD,R_2QmIwBADSGYFsiP,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Dan Forest, the Republican","Thom Tillis, the Republican",Unaffiliated,Male,46,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Republican party candidate,Jackson
SV_6tbzcMgiF3B4MxD,R_1QbeRRI1LGYkuV3,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Female,63,No,White,"Bachelor's degree (e.g. BA, BS)",Did not vote,Did not vote,Cumberland
SV_6tbzcMgiF3B4MxD,R_OjpPGdPDJrI4xNf,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat",Undecided,Republican,Male,27,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Republican party candidate,Mecklenburg
SV_6tbzcMgiF3B4MxD,R_302ngDRlX3AHNOb,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Female,54,No,Black or African American,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Franklin
SV_6tbzcMgiF3B4MxD,R_sh4lKK25DDLNoGt,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Female,35,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Buncombe
SV_6tbzcMgiF3B4MxD,R_3QDzG4RMFqdlNUm,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Dan Forest, the Republican","Thom Tillis, the Republican",Republican,Male,19,No,White,"Some college, no degree",Did not vote,Did not vote,Haywood
SV_6tbzcMgiF3B4MxD,R_2YlamMi6WGXtoID,Yes,I am 100% certain I will vote,Some other candidate,"Dan Forest, the Republican",Undecided,Democratic,Male,41,No,White,"Bachelor's degree (e.g. BA, BS)",Someone else,Someone else,Davie
SV_6tbzcMgiF3B4MxD,R_1EgmvWifgHwE0Y9,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Unaffiliated,Male,34,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Orange
SV_6tbzcMgiF3B4MxD,R_25EMjMUJ4oTXNF2,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Female,24,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Durham
SV_6tbzcMgiF3B4MxD,R_1GkMC7S0ifdJRHH,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat",Undecided,Republican,Male,32,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",Did not vote,Buncombe
SV_6tbzcMgiF3B4MxD,R_1FerTcwyDV14ZLf,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Dan Forest, the Republican","Thom Tillis, the Republican",Republican,Female,26,No,White,"Some college, no degree","Donald Trump, the Republican",The Republican party candidate,Washington
SV_6tbzcMgiF3B4MxD,R_3k5kWzDU0z0pFAk,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Dan Forest, the Republican","Thom Tillis, the Republican",Democratic,Female,62,No,Black or African American,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Republican party candidate,Northampton
SV_6tbzcMgiF3B4MxD,R_325TNhVoVHfV6xO,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Dan Forest, the Republican","Thom Tillis, the Republican",Republican,Male,28,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Republican party candidate,Washington
SV_6tbzcMgiF3B4MxD,R_3CBdS4PsgUinBbl,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Male,33,No,White,"Some college, no degree","Hillary Clinton, the Democrat",The Democratic party candidate,Stanly
SV_6tbzcMgiF3B4MxD,R_25ut4QRnbUcnWPN,Yes,I am likely to vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat",Undecided,Unaffiliated,Male,34,No,Black or African American,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Onslow
SV_6tbzcMgiF3B4MxD,R_1Ib0XS6zJYFOavb,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Female,55,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Durham
SV_6tbzcMgiF3B4MxD,R_2Yn74LmOAZWjTY8,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Dan Forest, the Republican","Thom Tillis, the Republican",Republican,Female,58,No,American Indian or Alaska Native,"Associate degree (e.g. AA, AS)","Donald Trump, the Republican",The Republican party candidate,Cumberland
SV_6tbzcMgiF3B4MxD,R_31ZBC4qZqrIGci6,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Female,47,No,Black or African American,"Master's degree (e.g. MA, MS, MEd)","Hillary Clinton, the Democrat",The Democratic party candidate,Vance
SV_6tbzcMgiF3B4MxD,R_247PkX52KRJ64j5,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Dan Forest, the Republican","Thom Tillis, the Republican",Unaffiliated,Female,64,No,White,"Associate degree (e.g. AA, AS)","Donald Trump, the Republican",The Republican party candidate,Beaufort
SV_6tbzcMgiF3B4MxD,R_2TY55XTgK4qLaH1,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Unaffiliated,Female,66,No,White,"Associate degree (e.g. AA, AS)",Did not vote,Unsure / Don't remember,Sampson
SV_6tbzcMgiF3B4MxD,R_2wB1KmyWA8YHSL0,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Male,38,No,White,"Some college, no degree","Hillary Clinton, the Democrat",The Democratic party candidate,Wilkes
SV_6tbzcMgiF3B4MxD,R_26kAoq5oxjfFd47,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Dan Forest, the Republican","Thom Tillis, the Republican",Republican,Male,31,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Republican party candidate,Wilkes
SV_6tbzcMgiF3B4MxD,R_025oj9qPdWyBCGR,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Dan Forest, the Republican","Thom Tillis, the Republican",Unaffiliated,Female,26,No,White,High school degree or equivalent (e.g. GED),Did not vote,Did not vote,Union
SV_6tbzcMgiF3B4MxD,R_2rCMKbFhp6NPcQN,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Female,29,No,Asian,"Master's degree (e.g. MA, MS, MEd)","Hillary Clinton, the Democrat",The Democratic party candidate,Durham
SV_6tbzcMgiF3B4MxD,R_3ltxPGH3Nanx4xV,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Female,43,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Wake
SV_6tbzcMgiF3B4MxD,R_O42zi4PPBDt71gl,Yes,I am likely to vote,Some other candidate,Some other candidate,Some other candidate,Republican,Female,65,No,White,"Some college, no degree",Someone else,Unsure / Don't remember,Carteret
SV_6tbzcMgiF3B4MxD,R_3pmUewSgiyMO8Gi,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Female,57,No,White,"Doctorate or professional degree (e.g. MD, DDS, PhD)","Hillary Clinton, the Democrat",The Democratic party candidate,Orange
SV_6tbzcMgiF3B4MxD,R_1Hjn6AYKRlmAhxC,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Unaffiliated,Female,22,No,White,"Master's degree (e.g. MA, MS, MEd)","Donald Trump, the Republican",Unsure / Don't remember,Wake
SV_6tbzcMgiF3B4MxD,R_322Vhz0zQdtfaIu,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Roy Cooper, the Democrat","Cal Cunningham, the Democrat",Democratic,Female,56,No,Black or African American,"Some college, no degree","Hillary Clinton, the Democrat",The Democratic party candidate,Cumberland
