survey_id,response_id,registered,propensity,pres,sen,gov,party_reg,age,gender,hisp,race,educ,pres16,house18,county
SV_3WunfJOVGncwpE1,R_3aYIovETFfy09u9,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Cal Cunningham, the Democrat","Dan Forest, the Republican",Republican,42,Female,No,White,"Bachelor's degree (e.g. BA, BS)","Donald Trump, the Republican",The Republican party candidate,Union
SV_3WunfJOVGncwpE1,R_2Vw1co5or0zS7Pm,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Unaffiliated,22,Female,No,White,"Master's degree (e.g. MA, MS, MEd)","Donald Trump, the Republican",The Democratic party candidate,Wake
SV_3WunfJOVGncwpE1,R_2rPFmp2D18UkHHK,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Thom Tillis, the Republican","Dan Forest, the Republican",Unaffiliated,49,Female,No,White,"Associate degree (e.g. AA, AS)","Donald Trump, the Republican",Someone else,Brunswick
SV_3WunfJOVGncwpE1,R_3lVa7ODGOG92WjL,Yes,I am 100% certain I will vote,Some other candidate,"Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Democratic,32,Male,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,New Hanover
SV_3WunfJOVGncwpE1,R_2QKEVyzTbuOR0L6,Yes,I am likely to vote,"Joe Biden, the Democrat","Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Democratic,26,Female,No,American Indian or Alaska Native,"Bachelor's degree (e.g. BA, BS)",Did not vote,Did not vote,Orange
SV_3WunfJOVGncwpE1,R_XsV1dH3vXvAE3RL,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Democratic,21,Male,No,Asian,"Some college, no degree","Hillary Clinton, the Democrat",The Democratic party candidate,Robeson
SV_3WunfJOVGncwpE1,R_1IF2kKXOmvh7CkK,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Thom Tillis, the Republican","Dan Forest, the Republican",Republican,42,Female,No,White,"Some college, no degree","Donald Trump, the Republican",The Republican party candidate,Wake
SV_3WunfJOVGncwpE1,R_tLNYe6DZ6JjRfu9,Yes,I am likely to vote,"Donald Trump, the Republican",Undecided,"Dan Forest, the Republican",Republican,34,Female,Yes,White,"Master's degree (e.g. MA, MS, MEd)","Donald Trump, the Republican",The Republican party candidate,Union
SV_3WunfJOVGncwpE1,R_2bIS11mZahLFDM8,Yes,I am 100% certain I will vote,"Joe Biden, the Democrat","Cal Cunningham, the Democrat","Roy Cooper, the Democrat",Unaffiliated,34,Male,No,White,"Bachelor's degree (e.g. BA, BS)","Hillary Clinton, the Democrat",The Democratic party candidate,Orange
SV_3WunfJOVGncwpE1,R_1cXM4sPG07OTjp2,Yes,I am 100% certain I will vote,"Donald Trump, the Republican","Thom Tillis, the Republican","Dan Forest, the Republican",Republican,30,Male,No,White,"Associate degree (e.g. AA, AS)","Donald Trump, the Republican",The Republican party candidate,Henderson
